month,market,channel,product,product_cost,freight_cost,tariff_cost,warehouse_cost
2025-01,Rest of Europe,Other E-commerce,Washer-Dryer,27473.23,2129.25,2661.57,798.47
2025-01,Rest of Europe,Other E-commerce,Other Smart Home,26278.65,2269.06,2836.32,850.9
2025-01,Rest of Asia,Amazon,Robot Vacuum,396322.65,35671.1,17835.55,13376.66
2025-01,Rest of Asia,Amazon,Wet-Dry Vacuum,134151.3,11168.42,5584.21,4188.16
2025-01,Rest of Asia,Amazon,Stick Vacuum,84318.97,6462.04,3231.02,2423.27
2025-01,Rest of Asia,Amazon,Washer-Dryer,68194.9,5291.87,2645.94,1984.45
2025-01,Rest of Asia,Amazon,Other Smart Home,77167.78,6230.18,3115.09,2336.32
2025-01,Rest of Asia,Official Website,Robot Vacuum,203314.03,17329.56,8664.78,6498.59
2025-01,Rest of Asia,Official Website,Wet-Dry Vacuum,61628.03,4923.8,2461.9,1846.43
2025-01,Rest of Asia,Official Website,Stick Vacuum,37425.18,2968.65,1484.33,1113.25
2025-01,Rest of Asia,Official Website,Washer-Dryer,28096.46,2296.53,1148.26,861.2
2025-01,Rest of Asia,Official Website,Other Smart Home,34556.44,2840.43,1420.22,1065.16
2025-01,Rest of Asia,Offline Retail,Robot Vacuum,219943.4,18954.37,9477.19,7107.89
2025-01,Rest of Asia,Offline Retail,Wet-Dry Vacuum,75189.37,6281.06,3140.53,2355.4
2025-01,Rest of Asia,Offline Retail,Stick Vacuum,42294.4,3215.27,1607.64,1205.73
2025-01,Rest of Asia,Offline Retail,Roborock H1 (Unreleased),34493.51,2802.18,1401.09,1050.82
2025-01,Rest of Asia,Offline Retail,Other Smart Home,38013.23,3114.67,1557.34,1168.0
2025-01,Rest of Asia,Distributors,Robot Vacuum,240654.0,20716.29,10358.15,7768.61
2025-01,Rest of Asia,Distributors,Wet-Dry Vacuum,88370.6,7291.3,3645.65,2734.24
2025-01,Rest of Asia,Distributors,Stick Vacuum,44864.9,3879.3,1939.65,1454.74
2025-01,Rest of Asia,Distributors,Washer-Dryer,36843.46,2877.2,1438.6,1078.95
2025-01,Rest of Asia,Distributors,Other Smart Home,39571.11,3183.27,1591.63,1193.72
2025-01,Rest of Asia,Other E-commerce,Roborock H1 (Unreleased),112512.82,9608.87,4804.43,3603.33
2025-01,Rest of Asia,Other E-commerce,Wet-Dry Vacuum,43807.98,3675.31,1837.65,1378.24
2025-01,Rest of Asia,Other E-commerce,Stick Vacuum,23984.56,1980.85,990.43,742.82
2025-01,Rest of Asia,Other E-commerce,Washer-Dryer,20014.0,1461.33,730.67,548.0
2025-01,Rest of Asia,Other E-commerce,Other Smart Home,19403.25,1539.29,769.64,577.23
2025-02,China,Amazon,Robot Vacuum,4128792.83,377000.37,188500.19,141375.14
2025-02,China,Amazon,Wet-Dry Vacuum,1288804.97,106927.91,53463.95,40097.96
2025-02,China,Amazon,Stick Vacuum,766720.67,62615.95,31307.97,23480.98
2025-02,China,Amazon,Washer-Dryer,683888.69,51653.89,25826.95,19370.21
2025-02,China,Amazon,Other Smart Home,709467.12,58231.87,29115.93,21836.95
2025-02,China,Official Website,Robot Vacuum,1789766.28,155308.4,77654.2,58240.65
2025-02,China,Official Website,Wet-Dry Vacuum,565516.97,46661.78,23330.89,17498.17
2025-02,China,Official Website,Stick Vacuum,369806.46,27190.1,13595.05,10196.29
2025-02,China,Official Website,Washer-Dryer,277682.02,22039.81,11019.91,8264.93
2025-02,China,Official Website,Other Smart Home,287797.87,25280.5,12640.25,9480.19
2025-02,China,Offline Retail,Robot Vacuum,2181516.33,196226.61,98113.3,73584.98
2025-02,China,Offline Retail,Wet-Dry Vacuum,718453.62,62826.47,31413.24,23559.93
2025-02,China,Offline Retail,Stick Vacuum,480220.2,40218.35,20109.17,15081.88
2025-02,China,Offline Retail,Washer-Dryer,387680.74,30745.16,15372.58,11529.44
2025-02,China,Offline Retail,Other Smart Home,382123.95,32749.71,16374.85,12281.14
2025-02,China,Distributors,Robot Vacuum,2341587.17,214277.68,107138.84,80354.13
2025-02,China,Distributors,Wet-Dry Vacuum,899797.51,73835.24,36917.62,27688.22
2025-02,China,Distributors,Stick Vacuum,478451.25,38866.31,19433.16,14574.87
2025-02,China,Distributors,Washer-Dryer,441965.16,34181.4,17090.7,12818.03
2025-02,China,Distributors,Other Smart Home,467268.57,37921.72,18960.86,14220.65
2025-02,China,Other E-commerce,Robot Vacuum,1164355.29,105933.63,52966.81,39725.11
2025-02,China,Other E-commerce,Wet-Dry Vacuum,406308.83,34129.94,17064.97,12798.73
2025-02,China,Other E-commerce,Stick Vacuum,248008.4,19625.33,9812.66,7359.5
2025-02,China,Other E-commerce,Washer-Dryer,171224.2,13985.72,6992.86,5244.64
2025-02,China,Other E-commerce,Other Smart Home,190502.81,17098.59,8549.3,6411.97
2025-02,United States,Amazon,Robot Vacuum,1281211.32,112715.07,140893.84,42268.15
2025-02,United States,Amazon,Wet-Dry Vacuum,428762.76,35210.51,44013.13,13203.94
2025-02,United States,Amazon,Stick Vacuum,285245.98,21488.94,26861.18,8058.35
2025-02,United States,Amazon,Washer-Dryer,235776.97,18051.08,22563.85,6769.15
2025-02,United States,Amazon,Other Smart Home,259140.77,21076.74,26345.93,7903.78
2025-02,United States,Official Website,Robot Vacuum,657041.83,58748.23,73435.29,22030.59
2025-02,United States,Official Website,Wet-Dry Vacuum,200396.34,16552.1,20690.13,6207.04
2025-02,United States,Official Website,Roborock H1 (Unreleased),113854.99,9035.96,11294.95,3388.48
2025-02,United States,Official Website,Washer-Dryer,95910.17,7879.8,9849.76,2954.93
2025-02,United States,Official Website,Other Smart Home,110071.2,9060.18,11325.22,3397.57
2025-02,United States,Offline Retail,Robot Vacuum,774958.23,64737.59,80921.99,24276.6
2025-02,United States,Offline Retail,Wet-Dry Vacuum,284678.68,23524.18,29405.23,8821.57
2025-02,United States,Offline Retail,Stick Vacuum,160986.32,12271.27,15339.08,4601.73
2025-02,United States,Offline Retail,Washer-Dryer,138433.85,10853.63,13567.04,4070.11
2025-02,United States,Offline Retail,Other Smart Home,144236.82,12031.3,15039.13,4511.74
2025-02,United States,Distributors,Robot Vacuum,770608.43,68429.7,85537.13,25661.14
2025-02,United States,Distributors,Wet-Dry Vacuum,243842.55,21768.42,27210.52,8163.16
2025-02,United States,Distributors,Stick Vacuum,153546.54,12729.84,15912.31,4773.69
2025-02,United States,Distributors,Washer-Dryer,134570.18,10703.77,13379.72,4013.92
2025-02,United States,Distributors,Other Smart Home,134350.86,10926.44,13658.05,4097.41
2025-02,United States,Other E-commerce,Robot Vacuum,412247.69,35709.9,44637.38,13391.21
2025-02,United States,Other E-commerce,Wet-Dry Vacuum,139695.81,11529.24,14411.55,4323.47
2025-02,United States,Other E-commerce,Stick Vacuum,84973.19,6633.85,8292.31,2487.69
2025-02,United States,Other E-commerce,Washer-Dryer,65448.92,5059.45,6324.31,1897.29
2025-02,United States,Other E-commerce,Other Smart Home,72562.41,5836.42,7295.52,2188.66
2025-02,Germany,Amazon,Robot Vacuum,599116.34,53240.75,26620.37,19965.28
2025-02,Germany,Amazon,Wet-Dry Vacuum,201770.13,16785.04,8392.52,6294.39
2025-02,Germany,Amazon,Stick Vacuum,121108.33,9766.48,4883.24,3662.43
2025-02,Germany,Amazon,Washer-Dryer,101983.75,7687.06,3843.53,2882.65
2025-02,Germany,Amazon,Other Smart Home,101904.29,8600.7,4300.35,3225.26
2025-02,Germany,Official Website,Robot Vacuum,263266.75,22735.5,11367.75,8525.81
2025-02,Germany,Official Website,Wet-Dry Vacuum,80903.67,6979.01,3489.51,2617.13
2025-02,Germany,Official Website,Stick Vacuum,46758.48,3868.2,1934.1,1450.58
2025-02,Germany,Official Website,Washer-Dryer,41694.72,3142.48,1571.24,1178.43
2025-02,Germany,Official Website,Other Smart Home,37963.07,3172.02,1586.01,1189.51
2025-02,Germany,Offline Retail,Robot Vacuum,324544.5,29246.64,14623.32,10967.49
2025-02,Germany,Offline Retail,Wet-Dry Vacuum,119461.33,9696.21,4848.1,3636.08
2025-02,Germany,Offline Retail,Stick Vacuum,60323.4,4915.42,2457.71,1843.28
2025-02,Germany,Offline Retail,Washer-Dryer,52937.34,4096.71,2048.35,1536.27
2025-02,Germany,Offline Retail,Other Smart Home,56884.09,4549.37,2274.69,1706.01
2025-02,Germany,Distributors,Robot Vacuum,389357.95,33082.06,16541.03,12405.77
2025-02,Germany,Distributors,Wet-Dry Vacuum,128014.67,10187.33,5093.67,3820.25
2025-02,Germany,Distributors,Stick Vacuum,67225.16,5423.92,2711.96,2033.97
2025-02,Germany,Distributors,Washer-Dryer,56492.31,4190.83,2095.42,1571.56
2025-02,Germany,Distributors,Other Smart Home,60374.15,5178.61,2589.3,1941.98
2025-02,Germany,Other E-commerce,Robot Vacuum,142464.62,13017.7,6508.85,4881.64
2025-02,Germany,Other E-commerce,Wet-Dry Vacuum,49503.17,4438.22,2219.11,1664.33
2025-02,Germany,Other E-commerce,Stick Vacuum,31640.27,2410.26,1205.13,903.85
2025-02,Germany,Other E-commerce,Washer-Dryer,27990.39,2210.4,1105.2,828.9
2025-02,Germany,Other E-commerce,Other Smart Home,28622.99,2394.34,1197.17,897.88
2025-02,United Kingdom,Amazon,Robot Vacuum,382654.7,34968.74,17484.37,13113.28
2025-02,United Kingdom,Amazon,Wet-Dry Vacuum,133641.42,10909.27,5454.64,4090.98
2025-02,United Kingdom,Amazon,Stick Vacuum,84237.21,6815.78,3407.89,2555.92
2025-02,United Kingdom,Amazon,Washer-Dryer,64994.9,5203.29,2601.64,1951.23
2025-02,United Kingdom,Amazon,Other Smart Home,65713.14,5404.49,2702.24,2026.68
2025-02,United Kingdom,Official Website,Robot Vacuum,146315.28,13590.35,6795.17,5096.38
2025-02,United Kingdom,Official Website,Wet-Dry Vacuum,50652.26,4329.8,2164.9,1623.67
2025-02,United Kingdom,Official Website,Stick Vacuum,31660.97,2703.77,1351.89,1013.92
2025-02,United Kingdom,Official Website,Washer-Dryer,28182.81,2264.65,1132.33,849.24
2025-02,United Kingdom,Official Website,Other Smart Home,26095.79,2163.06,1081.53,811.15
2025-02,United Kingdom,Offline Retail,Robot Vacuum,198509.24,18750.34,9375.17,7031.38
2025-02,United Kingdom,Offline Retail,Wet-Dry Vacuum,70960.29,6188.33,3094.17,2320.62
2025-02,United Kingdom,Offline Retail,Stick Vacuum,42739.65,3419.42,1709.71,1282.28
2025-02,United Kingdom,Offline Retail,Washer-Dryer,34492.41,2697.25,1348.62,1011.47
2025-02,United Kingdom,Offline Retail,Other Smart Home,40429.09,3179.1,1589.55,1192.16
2025-02,United Kingdom,Distributors,Robot Vacuum,223553.2,18835.14,9417.57,7063.18
2025-02,United Kingdom,Distributors,Wet-Dry Vacuum,70904.92,6066.71,3033.35,2275.01
2025-02,United Kingdom,Distributors,Stick Vacuum,42428.89,3338.51,1669.26,1251.94
2025-02,United Kingdom,Distributors,Washer-Dryer,34299.8,2580.44,1290.22,967.67
2025-02,United Kingdom,Distributors,Other Smart Home,34804.3,2953.29,1476.65,1107.49
2025-02,United Kingdom,Other E-commerce,Robot Vacuum,107339.85,9989.51,4994.76,3746.07
2025-02,United Kingdom,Other E-commerce,Wet-Dry Vacuum,36388.83,3033.52,1516.76,1137.57
2025-02,United Kingdom,Other E-commerce,Stick Vacuum,22143.29,1780.7,890.35,667.76
2025-02,United Kingdom,Other E-commerce,Washer-Dryer,18870.08,1470.77,735.39,551.54
2025-02,United Kingdom,Other E-commerce,Other Smart Home,17771.89,1461.6,730.8,548.1
2025-02,Japan,Amazon,Robot Vacuum,531907.36,48370.04,24185.02,18138.76
2025-02,Japan,Amazon,Wet-Dry Vacuum,171505.24,14803.72,7401.86,5551.39
2025-02,Japan,Amazon,Stick Vacuum,97555.24,7778.96,3889.48,2917.11
2025-02,Japan,Amazon,Washer-Dryer,82635.62,6283.82,3141.91,2356.43
2025-02,Japan,Amazon,Other Smart Home,89300.94,7714.05,3857.02,2892.77
2025-02,Japan,Official Website,Robot Vacuum,228801.07,19786.95,9893.48,7420.11
2025-02,Japan,Official Website,Wet-Dry Vacuum,79526.58,6998.96,3499.48,2624.61
2025-02,Japan,Official Website,Stick Vacuum,42438.12,3454.97,1727.49,1295.61
2025-02,Japan,Official Website,Washer-Dryer,38755.41,3004.44,1502.22,1126.67
2025-02,Japan,Official Website,Other Smart Home,37500.64,3185.86,1592.93,1194.7
2025-02,Japan,Offline Retail,Robot Vacuum,298002.69,26945.91,13472.96,10104.72
2025-02,Japan,Offline Retail,Wet-Dry Vacuum,106703.03,8419.32,4209.66,3157.25
2025-02,Japan,Offline Retail,Stick Vacuum,58391.6,4793.69,2396.85,1797.64
2025-02,Japan,Offline Retail,Washer-Dryer,57299.44,4106.88,2053.44,1540.08
2025-02,Japan,Offline Retail,Other Smart Home,51936.52,4272.02,2136.01,1602.01
2025-02,Japan,Distributors,Robot Vacuum,299153.7,26518.21,13259.1,9944.33
2025-02,Japan,Distributors,Wet-Dry Vacuum,114921.77,9441.92,4720.96,3540.72
2025-02,Japan,Distributors,Stick Vacuum,73678.44,5478.47,2739.24,2054.43
2025-02,Japan,Distributors,Washer-Dryer,45189.25,3582.89,1791.45,1343.59
2025-02,Japan,Distributors,Other Smart Home,51209.35,4415.87,2207.94,1655.95
2025-02,Japan,Other E-commerce,Robot Vacuum,151788.44,13804.93,6902.47,5176.85
2025-02,Japan,Other E-commerce,Wet-Dry Vacuum,55842.0,4649.02,2324.51,1743.38
2025-02,Japan,Other E-commerce,Stick Vacuum,29147.95,2459.15,1229.58,922.18
2025-02,Japan,Other E-commerce,Roborock H1 (Unreleased),24464.8,2037.37,1018.68,764.01
2025-02,Japan,Other E-commerce,Other Smart Home,28553.28,2264.39,1132.2,849.15
2025-02,Rest of Europe,Amazon,Robot Vacuum,572501.01,50658.87,63323.59,18997.08
2025-02,Rest of Europe,Amazon,Wet-Dry Vacuum,189936.96,15968.29,19960.36,5988.11
2025-02,Rest of Europe,Amazon,Stick Vacuum,108413.69,8836.98,11046.22,3313.87
2025-02,Rest of Europe,Amazon,Washer-Dryer,94648.13,7089.52,8861.91,2658.57
2025-02,Rest of Europe,Amazon,Other Smart Home,97282.28,8312.81,10391.01,3117.3
2025-02,Rest of Europe,Official Website,Robot Vacuum,251999.92,21224.34,26530.42,7959.13
2025-02,Rest of Europe,Official Website,Wet-Dry Vacuum,95949.47,7557.45,9446.81,2834.04
